Area,Year,Population,Violent crime,Violent crime rate per 100k,"Murder and 
nonnegligent 
manslaughter","Murder and 
nonnegligent 
manslaughter rate per 100k",Rape,Rape rate per 100k,Robbery,Robbery rate per 100k,Aggravated assault,Aggravated assault rate per 100k,Property crime,Property crime rate per 100k,Burglary,Burglary rate per 100k,Larceny-theft,Larceny-theft rate per 100k,Motor vehicle theft,Motor vehicle theft rate per 100k
Delaware,2015,"944,076"," 	4,760 ",504.2 , 	62 ,6.6 , 	361 ,38.2 ," 	1,240 ",131.3 ," 	3,097 ",328.0 ," 	25,545 ","2,705.8 "," 	4,797 ",508.1 ," 	19,555 ","2,071.3 "," 	1,193 ",126.4 
District of Columbia,2015,"670,377"," 	8,538 ","1,273.6 ", 	162 ,24.2 , 	494 ,73.7 ," 	3,746 ",558.8 ," 	4,136 ",617.0 ," 	31,444 ","4,690.5 "," 	2,971 ",443.2 ," 	25,208 ","3,760.3 "," 	3,265 ",487.0 
Florida,2015,"20,244,914"," 	93,625 ",462.5 ," 	1,041 ",5.1 ," 	7,552 ",37.3 ," 	21,137 ",104.4 ," 	63,895 ",315.6 ," 	570,270 ","2,816.9 "," 	109,268 ",539.7 ," 	420,341 ","2,076.3 "," 	40,661 ",200.8 
Georgia,2015,"10,199,398"," 	38,891 ",381.3 , 	622 ,6.1 ," 	3,257 ",31.9 ," 	12,545 ",123.0 ," 	22,467 ",220.3 ," 	316,013 ","3,098.3 "," 	68,149 ",668.2 ," 	220,715 ","2,164.0 "," 	27,149 ",266.2 
Maryland,2015,"5,994,983"," 	28,185 ",470.1 , 	538 ,9.0 ," 	1,717 ",28.6 ," 	10,111 ",168.7 ," 	15,819 ",263.9 ," 	142,547 ","2,377.8 "," 	26,432 ",440.9 ," 	102,701 ","1,713.1 "," 	13,414 ",223.8 
North Carolina,2015,"10,035,186"," 	34,734 ",346.1 , 	517 ,5.2 ," 	2,591 ",25.8 ," 	8,821 ",87.9 ," 	22,805 ",227.3 ," 	275,915 ","2,749.5 "," 	74,760 ",745.0 ," 	187,732 ","1,870.7 "," 	13,423 ",133.8 
South Carolina,2015,"4,894,834"," 	24,448 ",499.5 , 	407 ,8.3 ," 	2,439 ",49.8 ," 	3,950 ",80.7 ," 	17,652 ",360.6 ," 	162,830 ","3,326.6 "," 	34,942 ",713.9 ," 	114,778 ","2,344.9 "," 	13,110 ",267.8 
Virginia,2015,"8,367,587"," 	16,705 ",199.6 , 	390 ,4.7 ," 	2,499 ",29.9 ," 	4,459 ",53.3 ," 	9,357 ",111.8 ," 	157,803 ","1,885.9 "," 	21,542 ",257.4 ," 	128,064 ","1,530.5 "," 	8,197 ",98.0 
West Virginia,2015,"1,841,053"," 	6,397 ",347.5 , 	85 ,4.6 , 	710 ,38.6 , 	783 ,42.5 ," 	4,819 ",261.8 ," 	38,694 ","2,101.7 "," 	9,467 ",514.2 ," 	26,984 ","1,465.7 "," 	2,243 ",121.8 
East South Central,2015,"18,862,932"," 	81,850 ",433.9 ," 	1,238 ",6.6 ," 	7,640 ",40.5 ," 	17,737 ",94.0 ," 	55,235 ",292.8 ," 	524,162 ","2,778.8 "," 	126,612 ",671.2 ," 	362,030 ","1,919.3 "," 	35,520 ",188.3 
Alabama,2015,"4,853,875"," 	22,957 ",473.0 , 	348 ,7.2 ," 	2,037 ",42.0 ," 	4,612 ",95.0 ," 	15,960 ",328.8 ," 	144,785 ","2,982.9 "," 	35,265 ",726.5 ," 	99,182 ","2,043.4 "," 	10,338 ",213.0 
Kentucky,2015,"4,424,611"," 	9,887 ",223.5 , 	219 ,4.9 ," 	1,644 ",37.2 ," 	3,314 ",74.9 ," 	4,710 ",106.5 ," 	97,545 ","2,204.6 "," 	22,526 ",509.1 ," 	67,143 ","1,517.5 "," 	7,876 ",178.0 
Mississippi,2015,"2,989,390"," 	8,190 ",274.0 , 	253 ,8.5 ," 	1,158 ",38.7 ," 	2,312 ",77.3 ," 	4,467 ",149.4 ," 	85,785 ","2,869.6 "," 	25,068 ",838.6 ," 	56,446 ","1,888.2 "," 	4,271 ",142.9 
Tennessee,2015,"6,595,056"," 	40,816 ",618.9 , 	418 ,6.3 ," 	2,801 ",42.5 ," 	7,499 ",113.7 ," 	30,098 ",456.4 ," 	196,047 ","2,972.6 "," 	43,753 ",663.4 ," 	139,259 ","2,111.6 "," 	13,035 ",197.6 
West South Central,2015,"38,983,866"," 	170,910 ",438.4 ," 	2,238 ",5.7 ," 	18,017 ",46.2 ," 	42,620 ",109.3 ," 	108,035 ",277.1 ," 	1,148,388 ","2,945.8 "," 	240,158 ",616.0 ," 	814,571 ","2,089.5 "," 	93,659 ",240.3 
Arkansas,2015,"2,977,853"," 	15,769 ",529.5 , 	189 ,6.3 ," 	2,008 ",67.4 ," 	2,117 ",71.1 ," 	11,455 ",384.7 ," 	97,391 ","3,270.5 "," 	22,851 ",767.4 ," 	68,720 ","2,307.7 "," 	5,820 ",195.4 
Louisiana,2015,"4,668,960"," 	25,202 ",539.8 , 	492 ,10.5 ," 	1,733 ",37.1 ," 	5,561 ",119.1 ," 	17,416 ",373.0 ," 	157,708 ","3,377.8 "," 	35,457 ",759.4 ," 	112,520 ","2,410.0 "," 	9,731 ",208.4 
Oklahoma,2015,"3,907,414"," 	16,746 ",428.6 , 	240 ,6.1 ," 	1,953 ",50.0 ," 	3,018 ",77.2 ," 	11,535 ",295.2 ," 	114,055 ","2,918.9 "," 	28,783 ",736.6 ," 	74,678 ","1,911.2 "," 	10,594 ",271.1 
Texas,2015,"27,429,639"," 	113,193 ",412.7 ," 	1,317 ",4.8 ," 	12,323 ",44.9 ," 	31,924 ",116.4 ," 	67,629 ",246.6 ," 	779,234 ","2,840.8 "," 	153,067 ",558.0 ," 	558,653 ","2,036.7 "," 	67,514 ",246.1 
West,2015,"75,834,288"," 	301,773 ",397.9 ," 	3,194 ",4.2 ," 	31,615 ",41.7 ," 	82,557 ",108.9 ," 	184,407 ",243.2 ," 	2,123,048 ","2,799.6 "," 	402,703 ",531.0 ," 	1,437,787 ","1,896.0 "," 	282,558 ",372.6 
Mountain,2015,"23,492,558"," 	94,784 ",403.5 , 	917 ,3.9 ," 	12,938 ",55.1 ," 	20,236 ",86.1 ," 	60,693 ",258.3 ," 	662,713 ","2,820.9 "," 	125,323 ",533.5 ," 	470,974 ","2,004.8 "," 	66,416 ",282.7 
Arizona,2015,"6,817,565"," 	27,968 ",410.2 , 	306 ,4.5 ," 	3,109 ",45.6 ," 	6,360 ",93.3 ," 	18,193 ",266.9 ," 	207,184 ","3,039.0 "," 	38,010 ",557.5 ," 	152,388 ","2,235.2 "," 	16,786 ",246.2 
Colorado,2015,"5,448,819"," 	17,348 ",318.4 , 	173 ,3.2 ," 	3,328 ",61.1 ," 	3,315 ",60.8 ," 	10,532 ",193.3 ," 	144,044 ","2,643.6 "," 	23,490 ",431.1 ," 	104,532 ","1,918.4 "," 	16,022 ",294.0 
Idaho,2015,"1,652,828"," 	3,593 ",217.4 , 	32 ,1.9 , 	703 ,42.5 , 	191 ,11.6 ," 	2,667 ",161.4 ," 	28,912 ","1,749.2 "," 	6,124 ",370.5 ," 	20,916 ","1,265.5 "," 	1,872 ",113.3 
Montana,2015,"1,032,073"," 	3,647 ",353.4 , 	38 ,3.7 , 	572 ,55.4 , 	210 ,20.3 ," 	2,827 ",273.9 ," 	27,276 ","2,642.8 "," 	3,887 ",376.6 ," 	20,966 ","2,031.4 "," 	2,423 ",234.8 
Nevada,2015,"2,883,758"," 	20,118 ",697.6 , 	178 ,6.2 ," 	1,688 ",58.5 ," 	6,287 ",218.0 ," 	11,965 ",414.9 ," 	77,137 ","2,674.9 "," 	22,360 ",775.4 ," 	43,426 ","1,505.9 "," 	11,351 ",393.6 
New Mexico,2015,"2,080,328"," 	13,672 ",657.2 , 	117 ,5.6 ," 	1,663 ",79.9 ," 	2,485 ",119.5 ," 	9,407 ",452.2 ," 	77,212 ","3,711.5 "," 	17,084 ",821.2 ," 	51,485 ","2,474.9 "," 	8,643 ",415.5 
Utah,2015,"2,990,632"," 	7,138 ",238.7 , 	57 ,1.9 ," 	1,704 ",57.0 ," 	1,329 ",44.4 ," 	4,048 ",135.4 ," 	89,797 ","3,002.6 "," 	12,606 ",421.5 ," 	68,464 ","2,289.3 "," 	8,727 ",291.8 
Wyoming,2015,"586,555"," 	1,300 ",221.6 , 	16 ,2.7 , 	171 ,29.2 , 	59 ,10.1 ," 	1,054 ",179.7 ," 	11,151 ","1,901.1 "," 	1,762 ",300.4 ," 	8,797 ","1,499.8 ", 	592 ,100.9 
Pacific,2015,"52,341,730"," 	206,989 ",395.5 ," 	2,277 ",4.4 ," 	18,677 ",35.7 ," 	62,321 ",119.1 ," 	123,714 ",236.4 ," 	1,460,335 ","2,790.0 "," 	277,380 ",529.9 ," 	966,813 ","1,847.1 "," 	216,142 ",412.9 
Alaska,2015,"737,709"," 	5,391 ",730.8 , 	59 ,8.0 , 	900 ,122.0 , 	761 ,103.2 ," 	3,671 ",497.6 ," 	20,806 ","2,820.4 "," 	3,511 ",475.9 ," 	15,249 ","2,067.1 "," 	2,046 ",277.3 
California,2015,"38,993,940"," 	166,883 ",428.0 ," 	1,861 ",4.8 ," 	12,811 ",32.9 ," 	52,862 ",135.6 ," 	99,349 ",254.8 ," 	1,024,914 ","2,628.4 "," 	197,404 ",506.2 ," 	656,517 ","1,683.6 "," 	170,993 ",438.5 
Hawaii,2015,"1,425,157"," 	3,530 ",247.7 , 	29 ,2.0 , 	538 ,37.8 ," 	1,085 ",76.1 ," 	1,878 ",131.8 ," 	45,389 ","3,184.8 "," 	6,810 ",477.8 ," 	33,140 ","2,325.4 "," 	5,439 ",381.6 
Oregon,2015,"4,024,634"," 	10,680 ",265.4 , 	110 ,2.7 ," 	1,650 ",41.0 ," 	2,163 ",53.7 ," 	6,757 ",167.9 ," 	119,752 ","2,975.5 "," 	18,541 ",460.7 ," 	90,514 ","2,249.0 "," 	10,697 ",265.8 
Washington,2015,"7,160,290"," 	20,505 ",286.4 , 	218 ,3.0 ," 	2,778 ",38.8 ," 	5,450 ",76.1 ," 	12,059 ",168.4 ," 	249,474 ","3,484.1 "," 	51,114 ",713.9 ," 	171,393 ","2,393.7 "," 	26,967 ",376.6 
Puerto Rico,2015,"3,473,181"," 	7,629 ",219.7 , 	584 ,16.8 , 	165 ,4.8 ," 	4,070 ",117.2 ," 	2,810 ",80.9 ," 	37,717 ","1,085.9 "," 	9,150 ",263.4 ," 	24,493 ",705.2 ," 	4,074 ",117.3 
